time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2024-12-30 13:40:00-05:00,Trader,a704e61c33374887a048142c315c353d,SPY,sell,market,fill,1,gtc,0.0,1,stock,587.8900146484375,2154469.0,0.0
2024-12-30 13:50:00-05:00,Trader,3398b7a3a4704809a57b9fa2b05b3f7e,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2024-12-30 13:50:00-05:00,Trader,3398b7a3a4704809a57b9fa2b05b3f7e,SPY,sell,market,fill,1,gtc,0.0,1,stock,587.8900146484375,3231704.0,0.0
2024-12-30 14:00:00-05:00,Trader,75510234ddd44f4fabf6f47548682abb,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2024-12-30 14:00:00-05:00,Trader,75510234ddd44f4fabf6f47548682abb,SPY,sell,market,fill,1,gtc,0.0,1,stock,587.8900146484375,4847556.0,0.0
2024-12-30 14:10:00-05:00,Trader,9c35518674b7419d8e255d44134673ae,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2024-12-30 14:10:00-05:00,Trader,9c35518674b7419d8e255d44134673ae,SPY,sell,market,fill,1,gtc,0.0,1,stock,587.8900146484375,7271334.0,0.0
2024-12-30 14:20:00-05:00,Trader,6164235504754e7c93ea21179e6e01ab,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2024-12-30 14:20:00-05:00,Trader,6164235504754e7c93ea21179e6e01ab,SPY,sell,market,fill,1,gtc,0.0,1,stock,587.8900146484375,10907001.0,0.0
2024-12-30 14:30:00-05:00,Trader,d26aec433eea43fe8a8ca085aaf9e7dc,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2024-12-30 14:30:00-05:00,Trader,d26aec433eea43fe8a8ca085aaf9e7dc,SPY,sell,market,fill,1,gtc,0.0,1,stock,587.8900146484375,16360501.0,0.0
2024-12-30 14:40:00-05:00,Trader,d6e86b4ed08a46fe9b22e35b616e1404,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2024-12-30 14:40:00-05:00,Trader,d6e86b4ed08a46fe9b22e35b616e1404,SPY,sell,market,fill,1,gtc,0.0,1,stock,587.8900146484375,24540752.0,0.0
2024-12-30 14:50:00-05:00,Trader,fd33747cea8246258059277d145c52e1,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2024-12-30 14:50:00-05:00,Trader,fd33747cea8246258059277d145c52e1,SPY,sell,market,fill,1,gtc,0.0,1,stock,587.8900146484375,36811128.0,0.0
2024-12-30 15:00:00-05:00,Trader,7d1028597d4242b2bd42a830b033f20c,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2024-12-30 15:00:00-05:00,Trader,7d1028597d4242b2bd42a830b033f20c,SPY,sell,market,fill,1,gtc,0.0,1,stock,587.8900146484375,55216692.0,0.0
2024-12-30 15:10:00-05:00,Trader,b37864f0f7fe4a7789d0202b2b467477,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2024-12-30 15:10:00-05:00,Trader,b37864f0f7fe4a7789d0202b2b467477,SPY,sell,market,fill,1,gtc,0.0,1,stock,587.8900146484375,82825038.0,0.0
2024-12-30 15:20:00-05:00,Trader,0cb64a1eafc34f099d53f005866e5908,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2024-12-30 15:20:00-05:00,Trader,0cb64a1eafc34f099d53f005866e5908,SPY,sell,market,fill,1,gtc,0.0,1,stock,587.8900146484375,124237557.0,0.0
2024-12-30 15:30:00-05:00,Trader,730e7441468f45a3b315e02135ccfd5e,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2024-12-30 15:30:00-05:00,Trader,730e7441468f45a3b315e02135ccfd5e,SPY,sell,market,fill,1,gtc,0.0,1,stock,587.8900146484375,186356335.0,0.0
2024-12-30 15:40:00-05:00,Trader,2dced713b647405b9169d1381c1cddd3,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2024-12-30 15:40:00-05:00,Trader,2dced713b647405b9169d1381c1cddd3,SPY,sell,market,fill,1,gtc,0.0,1,stock,587.8900146484375,279534503.0,0.0
2024-12-30 15:50:00-05:00,Trader,3d34acf412e14444841708398a2cb257,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2024-12-30 15:50:00-05:00,Trader,3d34acf412e14444841708398a2cb257,SPY,sell,market,fill,1,gtc,0.0,1,stock,587.8900146484375,419301754.0,0.0
